0,攻め受け
;626番台:セフレシステム(2026-07-17追加、恋愛.ERB)。セフレ関係本体は TA:自分:相手:7 / ペアH回数は TA:8
;626:相手キャラ側に立てる。1=当日のペアH回数(TA:8)加算済み(1日1回制限)
626,セフレH済
;627:相手キャラ側に立てる。1=今日すでにセフレ勧誘/被勧誘イベント済(連打防止。告白済623と同型)
627,セフレ勧誘済
;628:MASTERのみ。セフレ提案イベントの予約(相手の登録番号)。@セフレH記録が記録し、
;　行動描写後にSOURCE_CHECKS末尾の@セフレ提案実行が消化する(妊娠リスク保留625と同パターン)
628,セフレ提案予約

;629:流産・陣痛開始・出産が行為(H/調教/痴漢)中に起きたときの行為強制終了予約。
;　PREGNANCY.ERBの@行為終了予約が立て、EVENTCOMENDループの安全地点で@行為終了予約消化が消化する
629,行為終了予約

;630番台:直接移動（経路追従型・2026-07-18）。COMF1000の@直接移動系。BEGIN TRAIN(毎朝)で自動クリア=当日限り
;630:直接移動の最終目的地区（631と対で保持。地区0も有効値のため実行判定は632を使う）
630,直接移動目的地区
;631:直接移動の最終目的部屋
631,直接移動目的位置
;632:1=直接移動（自動経路追従）実行中。0=非実行
632,直接移動中

;633:ソープランド（2026-07-20）。1=当日の飛び込み体験勧誘済（発生/辞退問わず1日1回制限）。BEGIN TRAINで自動クリア
633,ソープ体験済

;634:劇場（2026-07-21）。1=当日の飛び込みステージ体験勧誘済（発生/辞退問わず1日1回制限）。BEGIN TRAINで自動クリア
634,劇場体験済

;635:ホストクラブ（2026-07-21）。1=当日のアフターに誘い済（乗る/断る問わず1日1回制限）。BEGIN TRAINで自動クリア
635,ホストアフター済

;636-637:居酒屋・バーの飲酒（2026-07-21）。BEGIN TRAINで自動クリア＝当日限り
;636:当日の飲酒杯数（店の心配イベント・潰れ判定に使う）
636,当日飲酒量
;637:1=当日のお持ち帰りイベント判定済（発生/回避問わず1日1回制限）
637,お持ち帰り済
;638:1=当日のバーのマスターとのアフターに誘い済（乗る/断る問わず1日1回制限）
638,酒場アフター済

;639:1=当日、酔い潰れた同席者を介抱済（1日1回制限。酒場.ERB @酒場_介抱）
639,当日介抱済

;640番台:銭湯（2026-07-22追加、銭湯.ERB）。BEGIN TRAINで自動クリア＝当日限り
;640:MASTERのみ。1=当日の入浴料支払済（入浴コマンドCOMF1008の解禁。ホテル利用権622と同型）
640,銭湯利用権
;641:当日、銭湯で湯・サウナ・露天に入った回数。のぼせ判定に使う
641,当日長湯回数
;642:1=当日すでに男湯を覗いた（成否問わず1日1回制限）
642,当日銭湯覗き済


;643:映画館（2026-07-22追加、映画館.ERB）。1=当日カップルシートを取った（デートのカップルシートは1日1回）
643,当日カップルシート済


;644:会話の話題（2026-07-26追加、COMF800-雑談する.ERB）。XCOM800が選ばれた話題を記録し
;　　COM_MESSAGE800 が地の文を分岐する。描写側は SOURCE.ERB の TRYCALLFORM 経由で
;　　呼ばれるため話題を再計算できない＝XCOM側で決めてここに置くこと
;　　0=世間話 / 1=褒める / 2=近況を聞く / 3=噂話 / 4=部活の話
644,会話話題


;645:1=当日、行為に誘った相手（成否問わず1日1回制限。COMF983-行為に誘う）
;　　セフレ勧誘済(627)と同型でBEGIN TRAINの自動クリアに任せる
645,誘い済


;646:警察署（2026-08-30追加、警察署.ERB）。1=当日すでに窓口で用を足した（届け出・出頭は1日1回）
;　　BEGIN TRAINで自動クリア＝翌日にはまた窓口が使える
646,当日警察利用済


;647:裏路地（2026-09-01追加、追加イベント.ERB）。1=当日すでに裏路地で拾い物をした（1日1回）
;　　BEGIN TRAINで自動クリア＝翌日にはまた拾える
647,当日裏路地拾得済


;648:1=当日、連絡先の交換を持ちかけた相手（成否問わず1日1回制限。COMF982-連絡先を交換する）
;　　セフレ勧誘済(627)・誘い済(645)と同型でBEGIN TRAINの自動クリアに任せる
648,連絡先勧誘済
